id,date,home_team,away_team,home_goals,away_goals,match_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_red_cards,away_red_cards,b365h,b365d,b365a,season,league,home_team_goals_avg_last_5,away_goals_avg_last_5,ht_home_goals_avg_last_5,ht_away_goals_avg_last_5,home_balance_1h,home_balance_2h,away_balance_1h,away_balance_2h,home_form_1h_last_5,away_form_1h_last_5,home_form_2h_last_5,away_form_2h_last_5,home_shots_avg_last_5,away_shots_avg_last_5,home_shots_target_avg_last_5,away_shots_target_avg_last_5,home_red_cards_avg_last_5,away_red_cards_avg_last_5,home_goals_conceded_avg_last_5,away_goals_conceded_avg_last_5,target,home_points,away_points,home_points_avg_last_5,away_points_avg_last_5,home_overall_points_last_5,away_overall_points_last_5
138,2021-08-29,Union Berlin,M'gladbach,2,1,H,2,0,H,12,18,4,5,0,0,2.45,3.25,2.9,2122,D1,1.0,0.0,1.0,0.0,2,-1,-2,1,0.0,-2.0,0.0,-2.0,8.0,11.0,5.0,6.0,0.0,0.0,1.0,4.0,2,3,0,1.0,0.0,1.0,0.5
145,2021-08-29,Lille,Montpellier,2,1,H,1,1,D,15,6,4,3,0,1,1.66,4.0,5.0,2122,F1,0.0,3.0,0.0,3.0,0,1,0,-1,-3.0,1.0,-1.0,-1.0,11.0,15.0,2.0,5.0,0.0,0.0,4.0,3.0,2,3,0,0.0,1.0,0.6666666666666666,1.3333333333333333
144,2021-08-29,Strasbourg,Brest,3,1,H,2,1,H,11,11,5,5,0,0,2.0,3.3,4.0,2122,F1,0.5,1.0,0.0,1.0,1,1,-1,-1,-0.5,1.0,-0.5,-1.0,10.5,13.0,2.5,8.0,0.0,0.0,1.5,1.0,2,3,0,0.5,1.0,0.3333333333333333,0.6666666666666666
143,2021-08-29,Lens,Lorient,2,2,D,1,2,A,19,15,9,7,0,0,1.75,3.6,5.0,2122,F1,2.0,1.0,1.0,0.5,-1,1,1,-1,0.0,0.5,0.0,-1.5,22.0,8.5,7.0,3.5,0.0,1.0,2.0,2.0,1,1,1,1.0,0.5,1.6666666666666667,1.3333333333333333
142,2021-08-29,Clermont,Metz,2,2,D,1,2,A,16,12,4,4,0,0,1.72,3.75,4.75,2122,F1,2.0,0.0,0.0,0.0,-1,1,1,-1,0.0,-1.0,2.0,-1.0,18.0,10.0,8.0,5.0,0.0,0.0,0.0,2.0,1,1,1,3.0,0.0,2.3333333333333335,0.6666666666666666
141,2021-08-29,Wolves,Man United,0,1,A,0,0,D,15,10,6,3,0,0,5.0,3.5,1.75,2122,E0,0.0,1.0,0.0,0.0,0,-1,0,1,-1.0,-1.0,0.0,1.0,25.0,15.0,6.0,4.0,0.0,0.0,1.0,1.0,0,0,3,0.0,1.0,0.0,2.0
140,2021-08-29,Ath Madrid,Villarreal,2,2,D,0,0,D,24,2,5,2,0,0,1.75,3.4,5.25,2122,SP1,1.0,0.0,1.0,0.0,0,0,0,0,1.0,-0.0,0.0,-0.0,8.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,1,1,1,3.0,1.0,3.0,1.0
139,2021-08-29,Wolfsburg,RB Leipzig,1,0,H,0,0,D,8,12,2,2,0,0,3.6,3.5,2.05,2122,D1,1.0,0.0,1.0,0.0,0,1,0,-1,1.0,-1.0,0.0,-0.0,21.0,15.0,9.0,2.0,0.0,0.0,0.0,1.0,2,3,0,3.0,0.0,3.0,1.5
135,2021-08-29,Burnley,Leeds,1,1,D,0,0,D,12,12,3,2,0,0,3.1,3.5,2.25,2122,E0,1.0,1.0,1.0,0.0,0,0,0,0,1.0,-1.0,-2.0,-3.0,14.0,10.0,3.0,3.0,0.0,0.0,2.0,5.0,1,1,1,0.0,0.0,0.0,0.5
127,2021-08-29,Barcelona,Getafe,2,1,H,2,1,H,7,8,3,3,0,0,1.4,4.75,7.5,2122,SP1,4.0,0.0,2.0,0.0,1,0,-1,0,2.0,-1.0,0.0,-0.0,13.0,22.0,8.0,4.0,0.0,1.0,2.0,1.0,2,3,0,3.0,0.0,2.0,0.0
